iteration,proposal,fitness,cycle_time
2,"[[52, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 31], [33, 65], [32, 86], [18, 66], [17, 42]]",2.9283158321730545,13.885573625564575
3,"[[42, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.9110412598789637,13.821191787719727
3,"[[62, 96], [53, 67], [52, 32], [51, 4], [31, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.9295455052222366,13.821192979812622
3,"[[52, 86], [53, 67], [52, 32], [51, 4], [31, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",3.1294838145115014,13.82119369506836
3,"[[52, 106], [53, 67], [52, 32], [51, 4], [31, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.919963027467274,13.821193933486938
3,"[[52, 96], [43, 67], [52, 32], [51, 4], [31, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.8649919446838847,13.821194410324097
3,"[[52, 96], [63, 67], [52, 32], [51, 4], [31, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.8014556395890704,13.821194887161255
3,"[[52, 96], [53, 57], [52, 32], [51, 4], [31, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.822697229570813,13.821195363998413
3,"[[52, 96], [53, 77], [52, 32], [51, 4], [31, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.8638415190626274,13.82119607925415
3,"[[52, 96], [53, 67], [42, 32], [51, 4], [31, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.953470809784279,13.8211989402771
3,"[[52, 96], [53, 67], [62, 32], [51, 4], [31, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.84977790534602,13.821200132369995
3,"[[52, 96], [53, 67], [52, 22], [51, 4], [31, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.861413771191332,13.821200609207153
3,"[[52, 96], [53, 67], [52, 42], [51, 4], [31, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.8948581841168353,13.821201086044312
3,"[[52, 96], [53, 67], [52, 32], [41, 4], [31, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.97299363554327,13.82120156288147
3,"[[52, 96], [53, 67], [52, 32], [61, 4], [31, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.9713509250709906,13.821202039718628
3,"[[52, 96], [53, 67], [52, 32], [51, -6], [31, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.9713509250709906,13.821202516555786
3,"[[52, 96], [53, 67], [52, 32], [51, 14], [31, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.9725829579251997,13.821203231811523
3,"[[52, 96], [53, 67], [52, 32], [51, 4], [21, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.9679286115870753,13.821203708648682
3,"[[52, 96], [53, 67], [52, 32], [51, 4], [41, 5], [32, 41], [33, 65], [32, 86], [18, 66], [17, 32]]",2.9612208771586017,13.82120418548584
